satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
2,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
3,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
4,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
5,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
6,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
7,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
8,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
9,,0,0.0,0.0,-88.61645909119397,-88.61645909119397,-384.42105434522654,-1537.6842173809061,0.0,0.0
10,,0,0.0,0.0,-88.67462624795735,-88.67462624795735,-384.6733886462901,-1538.6935545851604,0.0,0.0
11,,0,0.0,0.0,-89.54023378808051,-89.54023378808051,-388.42847167861845,-1553.7138867144738,0.0,0.0
12,,0,0.0,0.0,-88.67373954132199,-88.67373954132199,-384.6695420339848,-1538.6781681359391,0.0,0.0
13,,0,0.0,0.0,-88.61645866092294,-88.61645866092294,-384.4210524786726,-1537.6842099146904,0.0,0.0
14,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
15,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
16,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
17,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
18,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
19,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
20,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
21,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
