gap_id,e_max_m,rms_m
1,7.195728770377666,3.970567806360698
2,7.209717584470336,4.33459891368172
3,7.209083007754809,4.663786868841915
4,7.223067872599553,4.981403486699594
5,7.222428720535819,5.271857646036396
6,7.2364091063554765,5.558440426616121
7,7.23576826863714,5.821543629171222
8,7.236924049755781,6.074059157239015
9,9.341262409417533,5.557812245135861
10,12.42389825506127,10.87382647946361
11,12.374009048608007,10.78966075505042
12,9.318125215768864,5.572606255018126
13,7.236864623493706,6.0765205698414295
14,7.235762205383627,5.824140352921926
15,7.236403043101963,5.561161067138685
16,7.222422223828265,5.274715109203542
17,7.223061713022919,4.984428616474544
18,7.209076173916334,4.66700574656504
19,7.2097111359243415,4.338063530616883
20,7.195721936539191,3.9743355117198846
