satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,61460.0,2,300.0,420.0,-89.47865207586437,-89.47865207586437,-388.1613246641154,-1552.6452986564616,0.8622073018923402,14.961329713083519
2,56540.0,2,300.0,420.0,-89.47865207772702,-89.47865207772702,-388.1613246721958,-1552.6452986887832,0.8622073037549853,14.961329745404809
3,51610.0,2,300.0,420.0,-89.47865206561983,-89.47865206561983,-388.1613246196736,-1552.6452984786945,0.8622072916477919,14.961329535316429
4,46680.0,2,300.0,420.0,-89.47865207213908,-89.47865207213908,-388.16132464795476,-1552.645298591819,0.8622072981670499,14.961329648440943
5,41740.0,2,300.0,420.0,-89.47865207493305,-89.47865207493305,-388.1613246600752,-1552.6452986403008,0.8622073009610176,14.961329696922874
6,36800.0,2,300.0,420.0,-89.47865206934512,-89.47865206934512,-388.1613246358343,-1552.6452985433373,0.8622072953730822,14.961329599959004
7,31850.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
8,26900.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
9,21950.0,2,300.0,420.0,-89.47866638749838,-89.47866638749838,-388.16138674927225,-1552.645546997089,0.8622072963044047,14.961329616182857
10,20540.0,2,300.0,420.0,-89.53683440107852,-89.53683440107852,-388.413724831481,-1553.654899325924,0.8622081531211734,14.961344740763463
11,,0,0.0,0.0,-89.54023378808051,-89.54023378808051,-388.42847167861845,-1553.7138867144738,0.0,0.0
12,20430.0,2,300.0,420.0,-89.53594767861068,-89.53594767861068,-388.40987814951427,-1553.639512598057,0.8622081372886896,14.961344462118005
13,21900.0,2,300.0,420.0,-89.47866595629603,-89.47866595629603,-388.16138487867767,-1552.6455395147107,0.8622072953730822,14.961329600020312
14,26850.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
15,31800.0,2,300.0,420.0,-89.47865207027644,-89.47865207027644,-388.1613246398744,-1552.6452985594976,0.8622072963044047,14.96132961611965
16,36750.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
17,41690.0,2,300.0,420.0,-89.4786520767957,-89.4786520767957,-388.1613246681556,-1552.6452986726224,0.8622073028236628,14.961329729244165
18,46630.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
19,51560.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
20,56490.0,2,300.0,420.0,-89.47865206655115,-89.47865206655115,-388.1613246237138,-1552.6452984948553,0.8622072925791144,14.961329551477073
21,61410.0,2,300.0,420.0,-89.4786520730704,-89.4786520730704,-388.16132465199496,-1552.6452986079798,0.8622072990983725,14.961329664601585
