gap_id,e_max_m,rms_m
1,1.4193315225723147e-07,6.643610447104515e-08
2,5.071308803623886e-08,4.5657957452811995e-08
3,2.3825627240396663e-07,1.47161561144207e-07
4,1.4193315225723147e-07,6.140118946975255e-08
5,5.071308803623886e-08,3.89628400365914e-08
6,1.4193315225723147e-07,8.564624291675685e-08
7,9.887464810960644e-08,5.270492608567687e-08
8,2.433593283297092e-07,1.3354829073201254e-07
9,1.4193315225723147e-07,8.798892849962617e-08
10,1.9009471233059905e-07,1.1958545069118342e-07
11,5.071308803623886e-08,4.283642785414056e-08
12,1.4193315225723147e-07,5.8092764943666457e-08
13,9.377159218386388e-08,4.902437291381469e-08
14,2.433593283297092e-07,1.6744141478633384e-07
15,1.4193315225723147e-07,6.428518921491253e-08
16,6.969081214718009e-08,3.9591891128138115e-08
17,1.4703620818297403e-07,8.094323713553371e-08
18,5.071308803623886e-08,3.826225183107502e-08
19,1.4193315225723147e-07,5.96891964489825e-08
20,2.433593283297092e-07,1.1798823058934583e-07
