satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
2,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
3,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
4,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
5,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
6,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
7,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
8,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
9,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,-1.4317221939563751e-05,-0.0002484375280694628
10,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,-0.05818147398531437,-1.0095856417822282
11,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,-0.923789014108479,-16.029917771095757
12,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,-0.05729476734995842,-0.9941991925609256
13,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,-1.38869509100914e-05,-0.000240971312108471
14,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
15,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
16,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
17,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
18,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
19,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
20,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
21,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
