satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
2,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
3,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
4,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
5,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
6,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
7,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
8,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
9,,0,0.0,0.0,-266.2526519699022,-266.2526519699022,-1155.0428525289763,-4620.171410115905,0.0,0.0
10,,0,0.0,0.0,-266.31099582929164,-266.31099582929164,-1155.2959666485983,-4621.183866594393,0.0,0.0
11,,0,0.0,0.0,-267.1792330266908,-267.1792330266908,-1159.0626548002892,-4636.250619201157,0.0,0.0
12,,0,0.0,0.0,-266.3101064302027,-266.3101064302027,-1155.292108153949,-4621.168432615796,0.0,0.0
13,,0,0.0,0.0,-266.25265153776854,-266.25265153776854,-1155.0428506542437,-4620.171402616975,0.0,0.0
14,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
15,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
16,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
17,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
18,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
19,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
20,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
21,,0,0.0,0.0,-266.2526375995949,-266.2526375995949,-1155.0427901860373,-4620.171160744149,0.0,0.0
