gap_id,e_max_m,rms_m
1,7.195729829931987,6.30667502929898
2,7.209717584470336,6.396580316018563
3,7.209085223186572,6.472832807465894
4,7.223069028476995,6.561499246975268
5,7.222428720535819,6.636248984143648
6,7.2364091063554765,6.723775474034124
7,7.23576826863714,6.797133088514195
8,7.241141172278925,6.872680795589088
9,26.426062057921822,15.479805651966181
10,13.422336423850334,12.280157286136447
11,13.63290271884208,12.31318674110375
12,26.142596701992975,15.347689110146945
13,7.240952865682094,6.873318471977949
14,7.235762205383627,6.797870118830377
15,7.236404487948765,6.724521978222285
16,7.222422223828265,6.637000204088063
17,7.223064891685884,6.562261245587226
18,7.209076173916334,6.47359966236752
19,7.209713351356105,6.397361132493985
20,7.195721936539191,6.307459379470337
