satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,61460.0,2,300.0,420.0,-267.1174642313272,-267.1174642313272,-1158.7946821563842,-4635.178728625537,0.864826631732285,15.007567881386603
2,56540.0,2,300.0,420.0,-267.1174642331898,-267.1174642331898,-1158.7946821644648,-4635.178728657859,0.8648266335949302,15.007567913709584
3,51610.0,2,300.0,420.0,-267.1174642210826,-267.1174642210826,-1158.7946821119401,-4635.1787284477605,0.8648266214877367,15.007567703610194
4,46680.0,2,300.0,420.0,-267.1174642276019,-267.1174642276019,-1158.7946821402227,-4635.178728560891,0.8648266280069947,15.007567816740636
5,41740.0,2,300.0,420.0,-267.11746423039585,-267.11746423039585,-1158.7946821523437,-4635.178728609375,0.8648266308009624,15.007567865225111
6,36800.0,2,300.0,420.0,-267.1174642248079,-267.1174642248079,-1158.7946821281016,-4635.178728512406,0.864826625213027,15.007567768256159
7,31850.0,2,300.0,420.0,-267.1174642229453,-267.1174642229453,-1158.7946821200208,-4635.178728480083,0.8648266233503819,15.007567735933174
8,26900.0,2,300.0,420.0,-267.1174642229453,-267.1174642229453,-1158.7946821200208,-4635.178728480083,0.8648266233503819,15.007567735933174
9,21950.0,2,300.0,420.0,-267.11747859604657,-267.11747859604657,-1158.7947444750966,-4635.178977900387,0.8648266261443496,15.007567784481289
10,20540.0,2,300.0,420.0,-267.1758233178407,-267.1758233178407,-1159.0478624006969,-4636.1914496027875,0.8648274885490537,15.007583008393057
11,,0,0.0,0.0,-267.1792330266908,-267.1792330266908,-1159.0626548002892,-4636.250619201157,0.0,0.0
12,20430.0,2,300.0,420.0,-267.1749339038506,-267.1749339038506,-1159.0440038404165,-4636.176015361666,0.8648274736478925,15.007582745870563
13,21900.0,2,300.0,420.0,-267.11747816298157,-267.11747816298157,-1158.7947425963232,-4635.178970385293,0.864826625213027,15.007567768317884
14,26850.0,2,300.0,420.0,-267.11746422667056,-267.11746422667056,-1158.794682136182,-4635.178728544728,0.8648266270756721,15.007567800579144
15,31800.0,2,300.0,420.0,-267.11746422573924,-267.11746422573924,-1158.794682132142,-4635.178728528568,0.8648266261443496,15.007567784417652
16,36750.0,2,300.0,420.0,-267.1174642229453,-267.1174642229453,-1158.7946821200208,-4635.178728480083,0.8648266233503819,15.007567735933174
17,41690.0,2,300.0,420.0,-267.1174642322585,-267.1174642322585,-1158.7946821604244,-4635.1787286416975,0.8648266326636076,15.007567897548094
18,46630.0,2,300.0,420.0,-267.1174642229453,-267.1174642229453,-1158.7946821200208,-4635.178728480083,0.8648266233503819,15.007567735933174
19,51560.0,2,300.0,420.0,-267.11746422667056,-267.11746422667056,-1158.794682136182,-4635.178728544728,0.8648266270756721,15.007567800579144
20,56490.0,2,300.0,420.0,-267.11746422201395,-267.11746422201395,-1158.7946821159803,-4635.178728463921,0.8648266224190593,15.007567719771686
21,61410.0,2,300.0,420.0,-267.1174642285332,-267.1174642285332,-1158.794682144263,-4635.178728577052,0.8648266289383173,15.007567832902126
