satellite_id,command_time,start_time,complete_time,from_mode,to_mode
12,20430.0,20430.0,20550.0,L,H
10,20540.0,20540.0,20660.0,L,H
12,20850.0,20850.0,20970.0,H,L
10,20960.0,20960.0,21080.0,H,L
13,21900.0,21900.0,22020.0,L,H
9,21950.0,21950.0,22070.0,L,H
13,22320.0,22320.0,22440.0,H,L
9,22370.0,22370.0,22490.0,H,L
14,26850.0,26850.0,26970.0,L,H
8,26900.0,26900.0,27020.0,L,H
14,27270.0,27270.0,27390.0,H,L
8,27320.0,27320.0,27440.0,H,L
15,31800.0,31800.0,31920.0,L,H
7,31850.0,31850.0,31970.0,L,H
15,32220.0,32220.0,32340.0,H,L
7,32270.0,32270.0,32390.0,H,L
16,36750.0,36750.0,36870.0,L,H
6,36800.0,36800.0,36920.0,L,H
16,37170.0,37170.0,37290.0,H,L
6,37220.0,37220.0,37340.0,H,L
17,41690.0,41690.0,41810.0,L,H
5,41740.0,41740.0,41860.0,L,H
17,42110.0,42110.0,42230.0,H,L
5,42160.0,42160.0,42280.0,H,L
18,46630.0,46630.0,46750.0,L,H
4,46680.0,46680.0,46800.0,L,H
18,47050.0,47050.0,47170.0,H,L
4,47100.0,47100.0,47220.0,H,L
19,51560.0,51560.0,51680.0,L,H
3,51610.0,51610.0,51730.0,L,H
19,51980.0,51980.0,52100.0,H,L
3,52030.0,52030.0,52150.0,H,L
20,56490.0,56490.0,56610.0,L,H
2,56540.0,56540.0,56660.0,L,H
20,56910.0,56910.0,57030.0,H,L
2,56960.0,56960.0,57080.0,H,L
21,61410.0,61410.0,61530.0,L,H
1,61460.0,61460.0,61580.0,L,H
21,61830.0,61830.0,61950.0,H,L
1,61880.0,61880.0,62000.0,H,L
