gap_id,e_max_m,rms_m
1,21.094598548886463,13.594967510744715
2,21.103796250983034,14.482157000740733
3,21.12762890266222,15.330826868097702
4,21.136802523978755,16.12811470967431
5,21.160603389028292,16.901449740809433
6,21.16975215897983,17.632733256301606
7,21.19351622859747,18.349336220220387
8,21.208656681914615,19.032702393978592
9,38.57525327868674,26.20980021357876
10,28.346040373700728,26.31054958515349
11,28.527340622452048,26.321220143370116
12,38.32102699852468,26.1128467762059
13,21.20846028417569,19.034871491601564
14,21.193497450692096,18.35168104548703
15,21.169732610489493,17.63516795748082
16,21.160583840537956,16.90398914094771
17,21.13678470930458,16.13077308753992
18,21.127608583586923,15.333619980466851
19,21.103779784832543,14.485111202014288
20,21.094578615103647,13.598110731350962
