satellite_id,command_time,start_time,complete_time,from_mode,to_mode
12,30620.0,30620.0,30740.0,L,H
10,30750.0,30750.0,30870.0,L,H
12,31040.0,31040.0,31160.0,H,L
10,31170.0,31170.0,31290.0,H,L
13,40420.0,40420.0,40540.0,L,H
9,40470.0,40470.0,40590.0,L,H
13,40840.0,40840.0,40960.0,H,L
9,40890.0,40890.0,41010.0,H,L
14,54920.0,54920.0,55040.0,L,H
8,54970.0,54970.0,55090.0,L,H
14,55340.0,55340.0,55460.0,H,L
8,55390.0,55390.0,55510.0,H,L
15,69410.0,69410.0,69530.0,L,H
7,69460.0,69460.0,69580.0,L,H
15,69830.0,69830.0,69950.0,H,L
7,69880.0,69880.0,70000.0,H,L
16,83880.0,83880.0,84000.0,L,H
6,83930.0,83930.0,84050.0,L,H
16,84300.0,84300.0,84420.0,H,L
6,84350.0,84350.0,84470.0,H,L
17,98340.0,98340.0,98460.0,L,H
5,98390.0,98390.0,98510.0,L,H
17,98760.0,98760.0,98880.0,H,L
5,98810.0,98810.0,98930.0,H,L
18,112780.0,112780.0,112900.0,L,H
4,112830.0,112830.0,112950.0,L,H
18,113200.0,113200.0,113320.0,H,L
4,113250.0,113250.0,113370.0,H,L
19,127210.0,127210.0,127330.0,L,H
3,127260.0,127260.0,127380.0,L,H
19,127630.0,127630.0,127750.0,H,L
3,127680.0,127680.0,127800.0,H,L
20,141620.0,141620.0,141740.0,L,H
2,141670.0,141670.0,141790.0,L,H
20,142040.0,142040.0,142160.0,H,L
2,142090.0,142090.0,142210.0,H,L
21,156020.0,156020.0,156140.0,L,H
1,156070.0,156070.0,156190.0,L,H
21,156440.0,156440.0,156560.0,H,L
1,156490.0,156490.0,156610.0,H,L
