satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,219070.0,2,300.0,420.0,-267.1174642313272,-267.1174642313272,-1158.7946821563842,-4635.178728625537,0.864826631732285,15.007567881386603
2,198370.0,2,300.0,420.0,-267.11746422667056,-267.11746422667056,-1158.794682136182,-4635.178728544728,0.8648266270756721,15.007567800579144
3,177650.0,2,300.0,420.0,-267.1174642248079,-267.1174642248079,-1158.7946821281016,-4635.178728512406,0.864826625213027,15.007567768256159
4,156910.0,2,300.0,420.0,-267.1174642201513,-267.1174642201513,-1158.7946821078997,-4635.178728431599,0.8648266205564141,15.0075676874487
5,136140.0,2,300.0,420.0,-267.1174642285332,-267.1174642285332,-1158.794682144263,-4635.178728577052,0.8648266289383173,15.007567832902126
6,115350.0,2,300.0,420.0,-267.11746422667056,-267.11746422667056,-1158.794682136182,-4635.178728544728,0.8648266270756721,15.007567800579144
7,94530.0,2,300.0,420.0,-267.1174642285332,-267.1174642285332,-1158.794682144263,-4635.178728577052,0.8648266289383173,15.007567832902126
8,73690.0,2,300.0,420.0,-267.11746422573924,-267.11746422573924,-1158.794682132142,-4635.178728528568,0.8648266261443496,15.007567784417652
9,52830.0,2,300.0,420.0,-267.11747859511524,-267.11747859511524,-1158.7947444710562,-4635.178977884225,0.864826625213027,15.007567768319795
10,37570.0,2,300.0,420.0,-267.17582331970334,-267.17582331970334,-1159.0478624087775,-4636.19144963511,0.8648274904116988,15.00758304071604
11,,0,0.0,0.0,-267.1792330266908,-267.1792330266908,-1159.0626548002892,-4636.250619201157,0.0,0.0
12,37420.0,2,300.0,420.0,-267.1749339066446,-267.1749339066446,-1159.0440038525376,-4636.17601541015,0.8648274764418602,15.007582794355038
13,52770.0,2,300.0,420.0,-267.11747816298157,-267.11747816298157,-1158.7947425963232,-4635.178970385293,0.864826625213027,15.007567768317884
14,73630.0,2,300.0,420.0,-267.11746422573924,-267.11746422573924,-1158.794682132142,-4635.178728528568,0.8648266261443496,15.007567784417652
15,94470.0,2,300.0,420.0,-267.11746422667056,-267.11746422667056,-1158.794682136182,-4635.178728544728,0.8648266270756721,15.007567800579144
16,115290.0,2,300.0,420.0,-267.1174642276019,-267.1174642276019,-1158.7946821402227,-4635.178728560891,0.8648266280069947,15.007567816740636
17,136080.0,2,300.0,420.0,-267.1174642248079,-267.1174642248079,-1158.7946821281016,-4635.178728512406,0.864826625213027,15.007567768256159
18,156850.0,2,300.0,420.0,-267.1174642276019,-267.1174642276019,-1158.7946821402227,-4635.178728560891,0.8648266280069947,15.007567816740636
19,177590.0,2,300.0,420.0,-267.1174642201513,-267.1174642201513,-1158.7946821078997,-4635.178728431599,0.8648266205564141,15.0075676874487
20,198310.0,2,300.0,420.0,-267.1174642276019,-267.1174642276019,-1158.7946821402227,-4635.178728560891,0.8648266280069947,15.007567816740636
21,219010.0,2,300.0,420.0,-267.11746422201395,-267.11746422201395,-1158.7946821159803,-4635.178728463921,0.8648266224190593,15.007567719771686
