mode,laplacian_eigenvalue,real_1_s_inv,imag_1_s_inv,real_2_s_inv,imag_2_s_inv
0,0.0,1.787876897303224e-08,0.0,0.0,0.0
1,0.022338347549742954,-1.025243372446028e-06,6.84307733163415e-06,-1.025243372446028e-06,-6.84307733163415e-06
2,0.08885438842771864,-4.104689709389346e-06,1.3175633334787934e-05,-4.104689709389346e-06,-1.3175633334787934e-05
3,0.1980622641951617,-9.160609883808007e-06,1.8455335174012126e-05,-9.160609883808007e-06,-1.8455335174012126e-05
4,0.3475224513680102,-1.6080062993662107e-05,2.205204741810707e-05,-1.6080062993662107e-05,-2.205204741810707e-05
5,0.5338962563403473,-2.470847989052956e-05,2.310445818311319e-05,-2.470847989052956e-05,-2.310445818311319e-05
6,0.7530203962825328,-3.485311599896407e-05,1.9981099836917746e-05,-3.485311599896407e-05,-1.9981099836917746e-05
7,0.9999999999999998,-4.6287356911809764e-05,9.097476975484434e-07,-4.6287356911809764e-05,-9.097476975484434e-07
8,1.26931795126721,-8.580486308790328e-05,0.0,-3.1706698075272756e-05,0.0
9,1.554958132087371,-0.0001149715570494702,0.0,-2.898816900446149e-05,0.0
10,1.8505398128271513,-0.00014373317742992687,0.0,-2.7595222766577082e-05,0.0
11,2.1494601871728483,-0.0001722618103610658,0.0,-2.674440227485454e-05,0.0
12,2.4450418679126287,-0.00020019792588665648,0.0,-2.6176960891836078e-05,0.0
13,2.73068204873279,-0.00022704489280670886,0.0,-2.5778158862539388e-05,0.0
14,2.9999999999999996,-0.00025227130376954005,0.0,-2.5488595239264603e-05,0.0
15,3.2469796037174667,-0.00027535399081418167,0.0,-2.5274390020314458e-05,0.0
16,3.4661037436596525,-0.0002958027283957601,0.0,-2.511492465560499e-05,0.0
17,3.65247754863199,-0.0003131773850229713,0.0,-2.4997101822128797e-05,0.0
18,3.801937735804838,-0.0003271009889165323,0.0,-2.4912404148275943e-05,0.0
19,3.911145611572281,-0.00033726994290213003,0.0,-2.485529051151551e-05,0.0
20,3.977661652450257,-0.00034346183586037526,0.0,-2.4822290227156903e-05,0.0
