satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
2,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
3,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
4,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
5,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
6,83930.0,2,300.0,420.0,-89.4786520730704,-89.4786520730704,-388.16132465199496,-1552.6452986079798,0.8622072990983725,14.961329664601585
7,69460.0,2,300.0,420.0,-89.4786520730704,-89.4786520730704,-388.16132465199496,-1552.6452986079798,0.8622072990983725,14.961329664601585
8,54970.0,2,300.0,420.0,-89.47865206655115,-89.47865206655115,-388.1613246237138,-1552.6452984948553,0.8622072925791144,14.961329551477073
9,40470.0,2,300.0,420.0,-89.47866638563573,-89.47866638563573,-388.1613867411919,-1552.6455469647676,0.8622072944417596,14.961329583861568
10,30750.0,2,300.0,420.0,-89.53683440759778,-89.53683440759778,-388.4137248597621,-1553.6548994390484,0.8622081596404314,14.96134485388798
11,,0,0.0,0.0,-89.54023378808051,-89.54023378808051,-388.42847167861845,-1553.7138867144738,0.0,0.0
12,30620.0,2,300.0,420.0,-89.53594768140465,-89.53594768140465,-388.4098781616348,-1553.6395126465393,0.8622081400826573,14.961344510599938
13,40420.0,2,300.0,420.0,-89.47866596281528,-89.47866596281528,-388.1613849069588,-1552.6455396278352,0.8622073018923402,14.961329713144826
14,54920.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
15,69410.0,2,300.0,420.0,-89.47865207027644,-89.47865207027644,-388.1613246398744,-1552.6452985594976,0.8622072963044047,14.96132961611965
16,83880.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
17,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
18,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
19,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
20,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
21,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
