satellite_id,command_time,start_time,complete_time,from_mode,to_mode
12,30620.0,30620.0,30740.0,L,H
10,30750.0,30750.0,30870.0,L,H
12,31040.0,31040.0,31160.0,H,L
10,31170.0,31170.0,31290.0,H,L
13,40420.0,40420.0,40540.0,L,H
9,40470.0,40470.0,40590.0,L,H
13,40840.0,40840.0,40960.0,H,L
9,40890.0,40890.0,41010.0,H,L
14,54920.0,54920.0,55040.0,L,H
8,54970.0,54970.0,55090.0,L,H
14,55340.0,55340.0,55460.0,H,L
8,55390.0,55390.0,55510.0,H,L
15,69410.0,69410.0,69530.0,L,H
7,69460.0,69460.0,69580.0,L,H
15,69830.0,69830.0,69950.0,H,L
7,69880.0,69880.0,70000.0,H,L
16,83880.0,83880.0,84000.0,L,H
6,83930.0,83930.0,84050.0,L,H
16,84300.0,84300.0,84420.0,H,L
6,84350.0,84350.0,84470.0,H,L
