case=all_low_drag_baseline
status=running
control_enabled=False
disturbance_enabled=True
progress=5% simulated_time_s=4320 estimated_remaining_s=31.121
progress=10% simulated_time_s=8640 estimated_remaining_s=25.681
progress=15% simulated_time_s=12960 estimated_remaining_s=22.002
progress=20% simulated_time_s=17280 estimated_remaining_s=20.288
progress=25% simulated_time_s=21600 estimated_remaining_s=19.395
progress=30% simulated_time_s=25920 estimated_remaining_s=17.902
progress=35% simulated_time_s=30240 estimated_remaining_s=16.402
progress=40% simulated_time_s=34560 estimated_remaining_s=14.906
progress=45% simulated_time_s=38880 estimated_remaining_s=13.551
progress=50% simulated_time_s=43200 estimated_remaining_s=12.126
progress=55% simulated_time_s=47520 estimated_remaining_s=10.887
progress=60% simulated_time_s=51840 estimated_remaining_s=9.650
progress=65% simulated_time_s=56160 estimated_remaining_s=8.494
progress=70% simulated_time_s=60480 estimated_remaining_s=7.303
progress=75% simulated_time_s=64800 estimated_remaining_s=6.100
progress=80% simulated_time_s=69120 estimated_remaining_s=4.840
progress=85% simulated_time_s=73440 estimated_remaining_s=3.634
progress=90% simulated_time_s=77760 estimated_remaining_s=2.437
progress=95% simulated_time_s=82080 estimated_remaining_s=1.214
progress=100% simulated_time_s=86400 estimated_remaining_s=0.000
status=completed
elapsed_s=24.676187
