case=controlled_undisturbed
status=running
control_enabled=True
disturbance_enabled=False
progress=5% simulated_time_s=12960 estimated_remaining_s=114.517
progress=10% simulated_time_s=25920 estimated_remaining_s=105.506
progress=15% simulated_time_s=38880 estimated_remaining_s=96.711
progress=20% simulated_time_s=51840 estimated_remaining_s=90.257
progress=25% simulated_time_s=64800 estimated_remaining_s=84.085
progress=30% simulated_time_s=77760 estimated_remaining_s=78.182
progress=35% simulated_time_s=90720 estimated_remaining_s=72.201
progress=40% simulated_time_s=103680 estimated_remaining_s=66.262
progress=45% simulated_time_s=116640 estimated_remaining_s=61.190
progress=50% simulated_time_s=129600 estimated_remaining_s=55.406
progress=55% simulated_time_s=142560 estimated_remaining_s=49.789
progress=60% simulated_time_s=155520 estimated_remaining_s=44.222
progress=65% simulated_time_s=168480 estimated_remaining_s=38.721
progress=70% simulated_time_s=181440 estimated_remaining_s=33.161
progress=75% simulated_time_s=194400 estimated_remaining_s=27.712
progress=80% simulated_time_s=207360 estimated_remaining_s=22.259
progress=85% simulated_time_s=220320 estimated_remaining_s=16.722
progress=90% simulated_time_s=233280 estimated_remaining_s=11.228
progress=95% simulated_time_s=246240 estimated_remaining_s=5.744
progress=100% simulated_time_s=259200 estimated_remaining_s=0.000
status=completed
elapsed_s=118.501987
